Game over iterations 45 points white = 6; black = 2 
Game over iterations 43 points white = 7; black = 0 
Game over iterations 44 points white = 7; black = 1 
Game over iterations 37 points white = 1; black = 10 
Game over iterations 33 points white = 9; black = 1 
Game over iterations 44 points white = 7; black = 1 
Game over iterations 90 points white = 6; black = 0 
Game over iterations 46 points white = 7; black = 0 
Game over iterations 46 points white = 5; black = 1 
Game over iterations 35 points white = 1; black = 8 
Game over iterations 51 points white = 6; black = 0 
Game over iterations 45 points white = 7; black = 1 
Game over iterations 52 points white = 5; black = 1 
Game over iterations 42 points white = 3; black = 0 
Game over iterations 46 points white = 6; black = 0 
Game over iterations 44 points white = 6; black = 0 
Game over iterations 86 points white = 3; black = 1 
Game over iterations 41 points white = 1; black = 5 
Game over iterations 81 points white = 6; black = 1 
Game over iterations 44 points white = 5; black = 1 
Game over iterations 48 points white = 4; black = 1 
Game over iterations 42 points white = 4; black = 0 
Game over iterations 58 points white = 6; black = 1 
Game over iterations 42 points white = 8; black = 1 
Game over iterations 44 points white = 7; black = 0 
Game over iterations 46 points white = 6; black = 1 
Game over iterations 46 points white = 5; black = 1 
Game over iterations 46 points white = 6; black = 0 
Game over iterations 98 points white = 1; black = 1 
Game over iterations 54 points white = 8; black = 0 
Game over iterations 37 points white = 1; black = 6 
Game over iterations 39 points white = 9; black = 1 
Game over iterations 36 points white = 7; black = 1 
Game over iterations 44 points white = 5; black = 0 
Game over iterations 24 points white = 9; black = 2 
Game over iterations 39 points white = 6; black = 1 
Game over iterations 38 points white = 4; black = 1 
Game over iterations 44 points white = 6; black = 1 
Game over iterations 66 points white = 3; black = 0 
Game over iterations 48 points white = 7; black = 0 
Game over iterations 44 points white = 7; black = 1 
Game over iterations 56 points white = 5; black = 0 
