Game over iterations 43 points white = 2; black = 8 
Game over iterations 33 points white = 3; black = 10 
Game over iterations 50 points white = 1; black = 7 
Game over iterations 48 points white = 1; black = 10 
Game over iterations 46 points white = 1; black = 6 
Game over iterations 44 points white = 2; black = 10 
Game over iterations 36 points white = 1; black = 7 
Game over iterations 46 points white = 1; black = 8 
Game over iterations 39 points white = 2; black = 7 
Game over iterations 61 points white = 1; black = 8 
Game over iterations 40 points white = 1; black = 8 
Game over iterations 37 points white = 1; black = 9 
Game over iterations 47 points white = 2; black = 8 
Game over iterations 75 points white = 2; black = 0 
Game over iterations 44 points white = 2; black = 10 
Game over iterations 44 points white = 4; black = 1 
Game over iterations 35 points white = 2; black = 8 
Game over iterations 42 points white = 1; black = 9 
Game over iterations 44 points white = 2; black = 10 
Game over iterations 47 points white = 6; black = 0 
Game over iterations 39 points white = 1; black = 9 
Game over iterations 45 points white = 2; black = 8 
Game over iterations 34 points white = 2; black = 10 
Game over iterations 46 points white = 2; black = 7 
Game over iterations 43 points white = 1; black = 6 
Game over iterations 41 points white = 2; black = 8 
Game over iterations 34 points white = 2; black = 10 
Game over iterations 45 points white = 1; black = 9 
Game over iterations 30 points white = 1; black = 10 
Game over iterations 50 points white = 1; black = 4 
Game over iterations 37 points white = 2; black = 7 
Game over iterations 43 points white = 1; black = 7 
Game over iterations 99 points white = 1; black = 4 
Game over iterations 48 points white = 2; black = 8 
Game over iterations 39 points white = 1; black = 7 
Game over iterations 37 points white = 3; black = 10 
Game over iterations 49 points white = 1; black = 6 
Game over iterations 45 points white = 1; black = 4 
Game over iterations 66 points white = 4; black = 0 
Game over iterations 44 points white = 2; black = 5 
Game over iterations 46 points white = 2; black = 6 
Game over iterations 52 points white = 1; black = 8 
Game over iterations 70 points white = 1; black = 6 
Game over iterations 33 points white = 1; black = 8 
Game over iterations 37 points white = 2; black = 8 
Game over iterations 59 points white = 1; black = 7 
Game over iterations 39 points white = 2; black = 8 
